Timestamp,MagX,MagY,MagZ,dMagX,dMagY,PWM_X,PWM_Y,CurrXPos,CurrXNeg,CurrYPos,CurrYNeg
14508723,-0.0046,-0.3124,-19.2376,29.5706,-14.6410,-28.92,58.38,0.0785,-0.0656,-0.3172,0.4204
14527893,0.0061,-0.4303,-19.4521,49.2240,13.4404,-50.08,46.80,0.0247,-0.0290,-0.4914,0.6054
14547062,0.1212,-0.4881,-19.3344,28.5256,-8.8828,-45.50,77.22,0.3495,-0.3409,-0.6419,0.7774
14566231,-0.0431,-0.2771,-18.9462,21.7249,10.8811,-15.69,27.91,0.0054,0.0226,-0.2978,0.3796
14585401,-0.0906,-0.1029,-18.7486,-16.6822,39.5481,29.37,-25.14,-0.0333,0.0763,-0.0613,0.1151
14604572,-0.1068,-0.3307,-18.9813,6.9262,-10.2665,8.03,56.56,-0.2806,0.3065,-0.6462,0.7839
14623741,0.0427,-0.3935,-19.2196,10.8401,15.1573,-16.82,39.93,0.0892,-0.0441,-0.2828,0.3645
14642911,-0.0561,-0.3081,-19.2228,18.6738,2.9086,-10.82,40.22,-0.2054,0.2333,-0.3710,0.4613
14662081,-0.0723,-0.3290,-18.9238,-22.0772,-13.4411,32.20,59.50,-0.0118,0.0871,-0.2247,0.3430
14681251,-0.0349,-0.2754,-18.9647,-1.8014,0.5549,6.69,38.00,0.0376,-0.0355,-0.2269,0.3194
14700420,-0.0467,-0.3160,-19.0266,-10.4372,4.4983,16.97,39.75,-0.0634,0.0355,-0.2613,0.3366
14719590,-0.0497,-0.2686,-18.8742,-4.8873,10.9632,11.84,26.64,-0.0849,0.1387,-0.2140,0.3151
14738761,-0.2227,-0.2363,-19.1884,-32.5600,25.0823,63.74,8.01,-0.3022,0.3000,-0.3000,0.3667
14757931,0.0321,-0.3503,-19.3484,34.2574,-32.0054,-38.76,81.04,-0.1710,0.1688,-0.3452,0.4462
14777101,0.0062,-0.3397,-19.1056,39.2829,6.4214,-40.15,41.13,-0.0699,0.0656,-0.2527,0.3903
